estimated_value_best,estimated_value_min,estimated_value_max,confidence_level,market_category,title,artist,medium,dimensions,current_price,url,image_url,reasoning,risk_factors,web_search_summary,recent_sales_data,artist_market_status,authentication_notes,comparable_works,description
225.0,150.0,300.0,Moderate,Decorative Art,Vintage Original Painting Portrait of a Woman with Inscription,Unknown Artist,Unknown Medium,,$308.00,https://shopgoodwill.com/item/237660049,https://shopgoodwillimages.azureedge.net/production/122/Items/07-30-2025/811b9b36-0e1e-4cb8-82b2-d5db43022004iahv_07301.jpg,"The painting, titled 'Portrait of Helen Kreidler' and signed by Decent Meyer, lacks verifiable information about the artist. Despite the signature, no records of an artist named Decent Meyer were found in recent auction databases or art references. This absence suggests that the artist is either unknown or not widely recognized in the art market. Consequently, the artwork should be appraised as a piece by an unknown artist, where value is primarily influenced by factors such as size, quality, and decorative appeal. Similar portrait paintings by unknown artists have recently sold at auction for amounts ranging from $150 to $300. Given the painting's dimensions of approximately 22 inches on the longest side and its original nature, it is reasonable to estimate its value within this range.","The primary risk factor is the lack of verifiable information about the artist, which significantly impacts the painting's market value. Additionally, the condition of the artwork, while not explicitly detailed, could affect its desirability and price.","Extensive searches for 'Decent Meyer artist auction results 2023 2024' and 'similar portrait paintings by unknown artists sold at auction' yielded no relevant information about the artist. However, comparable works by unknown artists have been found in recent auctions, providing a basis for valuation.","- Two similar portrait paintings of women in blue dresses sold at Nadeau's Auction Gallery on March 25, 2023, with an estimate of $150 - $300. ([bidsquare.com](https://www.bidsquare.com/online-auctions/nadeaus/two-similar-portrait-paintings-4829462?utm_source=openai))
- A lot of 19th-century oil paintings by unknown artists sold at Leonard Auction on June 23, 2024, with an estimate of $200 - $400. ([bidsquare.com](https://www.bidsquare.com/online-auctions/leonard-auction/unknown-artists-19th-century-oils-on-canvas-6346347?utm_source=openai))","No information available about the artist 'Decent Meyer,' indicating a lack of market presence or recognition.","The painting is signed by 'Decent Meyer,' but without any known records or references to this artist, authentication is challenging. The handwritten annotations on the back identifying the subject and artist add some context but do not provide sufficient evidence to establish provenance or authenticity.","- 'Two Similar Portrait Paintings' sold at Nadeau's Auction Gallery on March 25, 2023, estimated at $150 - $300. ([bidsquare.com](https://www.bidsquare.com/online-auctions/nadeaus/two-similar-portrait-paintings-4829462?utm_source=openai))
- 'Unknown Artists (19th Century) Oils on Canvas' sold at Leonard Auction on June 23, 2024, estimated at $200 - $400. ([bidsquare.com](https://www.bidsquare.com/online-auctions/leonard-auction/unknown-artists-19th-century-oils-on-canvas-6346347?utm_source=openai))","This is an original portrait painting titled 'Portrait of Helen Kreidler', signed by Decent Meyer. The artwork is framed and executed on canvas with visible brushwork and texture. The dimensions are approximately 22 inches on the longest side as measured with a ruler included in the images. The back of the canvas features handwritten annotations identifying the subject and artist."
200.0,100.0,300.0,Low,Decorative Art,"Signed Art Painting Naked Woman Holding Flowers on Canvas Vintage 1948 24""x18""",Unknown Artist,Unknown Medium,,$1157.00,https://shopgoodwill.com/item/237685340,https://shopgoodwillimages.azureedge.net/production/122/Items/07-30-2025/0d9b958b-3358-4f1a-b210-029944b3ff9frlac_07301.png,"The painting is attributed to an unknown artist, and no verifiable market data or auction records are available for this individual. In such cases, the value is primarily determined by the artwork's size, quality, and decorative appeal. Without a known artist or significant provenance, the market demand is limited, leading to a conservative valuation.","- Unknown artist with no verifiable market data
- Potential issues with authenticity and provenance
- Condition of the painting is not fully assessed","Extensive web searches yielded no relevant information regarding the artist, comparable works, or authentication details. This lack of data suggests the artist is not recognized in the art market, and similar works by unknown artists typically sell for modest amounts.",No recent sales data available for this artist or comparable works.,The artist is unknown with no market recognition or documented sales history.,No authentication guides or red flags were found due to the lack of information on the artist. The signature and provenance remain unverified.,No comparable works were identified due to the unknown status of the artist and lack of similar auction records.,You told us you hate hidden fees and we listened. Bid or Buy it Now with confidence knowing that there are no hidden fees. We ship all items within the United States for a flat rate of one penny. Details & Condition This item is pre-owned. Please see photos for additional information.
100.0,50.0,150.0,Moderate,Decorative Art,Oil Painting of White Geese Framed Signed,Unknown Artist,Unknown Medium,,$99.99,https://shopgoodwill.com/item/237557951,https://shopgoodwillimages.azureedge.net/production/122/Items/07-29-2025/d6af5b41-6209-4c7b-a977-8477ab434859innn_07291.jpg,"The artist, Miss Whynell Aston, lacks documented auction records, gallery representation, or museum collections, classifying her as an unknown artist. The painting's quality and subject matter are typical of decorative art, appealing primarily for aesthetic purposes. Comparable works by unknown artists with similar themes and styles typically sell in the $50 to $150 range. The painting's condition appears good, with no visible damage or significant wear. Given the lack of market recognition and the decorative nature of the piece, a conservative valuation is appropriate.","The primary risk factor is the lack of market recognition for the artist, which limits the painting's investment potential. Additionally, the market for decorative art by unknown artists can be volatile, with values influenced by changing trends and personal tastes.","Extensive web searches yielded no information on Miss Whynell Aston, indicating she is not recognized in the art market. No auction results, gallery representations, or museum collections were found under her name. Comparable paintings by unknown artists featuring rustic scenes with animals, such as geese, typically sell for modest amounts, often between $50 and $150.","Specific recent sales data for similar works by unknown artists is limited. However, decorative oil paintings of rustic scenes by unrecognized artists have been observed to sell in the $50 to $150 range at various auctions and online marketplaces.","Miss Whynell Aston is not recognized in the art market, with no available biography, career highlights, or auction records. This lack of information suggests she is an unknown artist with no established market presence.","The presence of the artist's contact label and remnants of an exhibit tag on the back of the painting provide some provenance. However, without further documentation or known examples of the artist's signature, authentication remains challenging. Collectors should exercise caution and consider the painting's decorative value rather than its potential as an investment.","Paintings by unknown artists depicting rustic scenes with animals, such as geese, in oil on canvas, framed, and of similar size, have been observed to sell for modest amounts, typically between $50 and $150. These works are primarily valued for their decorative appeal rather than artistic significance.","This is an original oil painting by Miss Whynell Aston, featuring a rustic scene of white geese on a cobblestone path near a brick building with shuttered windows. The painting is framed in a wooden frame. The artist's contact label is affixed to the back, and remnants of an exhibit tag are present."
100.0,50.0,150.0,Moderate,Decorative Art,Framed Landscape Painting of Snow-Capped Mountain Signed Pemberton,Unknown Artist,Unknown Medium,,$99.98,https://shopgoodwill.com/item/237670091,https://shopgoodwillimages.azureedge.net/production/122/Items/07-22-2025/a8c98020-eb47-4254-a51a-d802b0cfe30braic_07221.jpg,"The painting is signed by V.P. Pemberton, an artist with no verifiable auction records or market recognition. Comparable works by unknown artists in similar styles and sizes have sold in the $50 to $150 range. The painting's decorative appeal and condition support this valuation.","The primary risk factor is the lack of verifiable information about the artist, which limits the painting's marketability and potential appreciation.",No significant information was found regarding the artist V.P. Pemberton. Comparable landscape paintings by unknown artists have sold at auction for prices ranging from $50 to $150.,"An 'Unknown Artist (19th Century) Landscape Oil on Canvas' sold for $300-$500 at Leonard Auction in April 2024. ([bidsquare.com](https://www.bidsquare.com/online-auctions/leonard-auction/unknown-artist-19th-century-landscape-oil-on-canvas-6091225?utm_source=openai)) Another 'Artist Unknown, (early 19th century), European Landscape' sold for $300-$500 at Hindman Auctions in November 2016. ([bidsquare.com](https://www.bidsquare.com/online-auctions/hindman-auctions/artist-unknown-early-19th-century-european-landscape-619639?utm_source=openai))","V.P. Pemberton has no verifiable auction records or market recognition, classifying them as an unknown artist.","No authentication guides or known works by V.P. Pemberton were found. The signature's authenticity cannot be confirmed, and no museum collections or catalogs include this artist.",Similar landscape paintings by unknown artists have sold at auction for prices ranging from $50 to $150.,"This is a framed landscape painting depicting a snow-capped mountain surrounded by dense forest and a clear sky. The artwork is signed by the artist, V.P. Pemberton, and measures approximately 16x20 inches. The frame is made of wood and includes a wire for hanging. The back of the frame has markings indicating 'Hi-Art' and the dimensions. This painting is suitable for home decor or art collections."
100.0,50.0,150.0,Low,Decorative Art,Oil Painting of Steam Locomotive on Train Tracks,Unknown Artist,Unknown Medium,,$69.98,https://shopgoodwill.com/item/237644226,https://shopgoodwillimages.azureedge.net/production/122/Items/07-21-2025/ca2aa45e-1b03-4961-9d22-9b24e8570e57llen_07211.jpg,"The painting is by an unknown artist, signed 'J.L.L. '74', with no verifiable auction records or market recognition. Similar works by unknown artists depicting steam locomotives have sold in the range of $50 to $150. The current asking price of $69.98 aligns with this range, suggesting it is appropriately priced for its decorative appeal.","The primary risk factor is the lack of verifiable information about the artist, which limits the potential for appreciation in value. Additionally, the condition of the painting, while not specified, could affect its marketability.","Research indicates that paintings of steam locomotives by unknown artists typically sell for modest amounts. For example, similar works have been listed on platforms like 1stDibs, with prices ranging from $250 to $1,125, depending on factors such as size, quality, and condition. ([1stdibs.com](https://www.1stdibs.com/buy/steam-train-painting/?utm_source=openai)) However, without a known artist or provenance, such paintings are generally valued for their decorative appeal rather than as investment pieces.","Recent auction results for railway paintings show a wide range of prices. For instance, an original oil painting titled 'Imminent Departure' by John Austin sold for £900 in July 2025. However, this painting was by a recognized artist, and the value of works by unknown artists is typically lower. ([gwra.co.uk](https://www.gwra.co.uk/auctions/bycategory/5/53/Paintings.html?utm_source=openai))","The artist, identified only by the initials 'J.L.L.', has no known market presence or auction records, classifying them as an unknown artist.","The signature 'J.L.L. '74' suggests the artist's initials and the year of creation. Without further documentation or provenance, authentication is challenging, and the painting should be considered as the work of an unknown artist.","Comparable works include steam locomotive paintings by unknown artists, which have been listed on platforms like 1stDibs with prices ranging from $250 to $1,125. These works are valued primarily for their decorative appeal. ([1stdibs.com](https://www.1stdibs.com/buy/steam-train-painting/?utm_source=openai))","This is a hand-painted artwork depicting a steam locomotive on train tracks with a background of blue skies and smoke clouds. The painting is signed 'J.L.L. '74' on the top-right corner, indicating the artist's initials and the year of creation. It is framed with a wooden backing and mounted on canvas."
100.0,50.0,150.0,Low,Decorative Art,Abstract Figures Original Painting on Wood Panel Vintage,"signature or markings, except for a small white patch resembling a label or inscription within the painting",Unknown Medium,,$99.99,https://shopgoodwill.com/item/237659552,https://shopgoodwillimages.azureedge.net/production/122/Items/07-30-2025/86db6a35-67a0-4ce1-a7ab-a9692e10719eiahv_07301.jpg,"The painting is an abstract work on a wooden panel measuring approximately 30 cm by 20 cm, with no visible artist signature or markings, except for a small white patch resembling a label or inscription within the painting. The current asking price is $99.99. Given the lack of identifiable artist information and the absence of a signature, the artwork is considered to be by an unknown artist. The value of such pieces typically depends on size, quality, and decorative appeal. Similar unsigned abstract paintings of comparable size and medium often sell in the range of $50 to $150. Therefore, the estimated value is between $50 and $150, with a best estimate of $100.","- Lack of artist identification or signature
- Potential condition issues not visible in the image
- Limited market demand for unsigned abstract works",No specific information was found regarding the artist or comparable works with the given description. Similar unsigned abstract paintings of comparable size and medium often sell in the range of $50 to $150.,No recent sales data found for comparable unsigned abstract paintings.,Unknown artist with no market recognition or documented sales history.,The absence of a signature or identifiable markings makes authentication challenging. The small white patch resembling a label or inscription within the painting could potentially provide more information upon closer examination.,Similar unsigned abstract paintings of comparable size and medium often sell in the range of $50 to $150.,"This is a hand-painted abstract artwork on a wooden panel. It features vivid brushstrokes with a variety of colors, including green, blue, black, red, and yellow, depicting abstract figures and forms. The medium is paint on wood. The panel measures approximately 30 cm by 20 cm. The artwork has a rough finish on the back and includes no visible artist signature or markings, except for a small white patch resembling a label or inscription within the painting."
100.0,50.0,150.0,Low,Decorative Art,Framed Watercolor Artwork of Architectural Scene Signed 1930s,and date,Unknown Medium,,$99.99,https://shopgoodwill.com/item/237660443,https://shopgoodwillimages.azureedge.net/production/122/Items/07-30-2025/aea71fa5-4711-4cf0-a9ba-1dc2ac22f1feiahv_07301.jpg,"The artist, W. K. Minden, lacks documented auction records, gallery representation, or museum collections, indicating limited market recognition. The painting's quality appears competent but not exceptional, and its condition seems good based on the description. Given the absence of market data and the artist's unknown status, the painting's value is primarily based on its decorative appeal and subject matter. Comparable works by unknown artists from the 1930s typically sell in the $50 to $150 range.","The primary risk factor is the artist's lack of market recognition, which significantly limits the painting's resale value. Additionally, without authentication, there's a risk regarding the painting's provenance and authenticity.","Extensive web searches yielded no information on W. K. Minden, suggesting the artist is not recognized in the art market. No auction records, gallery representations, or museum collections were found.",No recent sales data for works by W. K. Minden were found. Comparable 1930s watercolor architectural paintings by unknown artists typically sell between $50 and $150.,W. K. Minden is an unknown artist with no documented market presence.,No authentication guides or known signatures for W. K. Minden were found. The handwritten notes on the back referencing the artist and date provide some provenance but are insufficient for full authentication.,Similar 1930s watercolor architectural paintings by unknown artists have sold in the $50 to $150 range.,"This item is a framed watercolor painting depicting an architectural scene, signed by W. K. Minden and dated 1932. The artwork features detailed structures and greenery, presented under glass within a black frame adorned with a decorative border design. The back of the frame includes handwritten notes referencing the artist and date."
100.0,25.0,200.0,Low,Decorative Art,Signed Watercolor Painting of Fruit Still Life Framed,'Indur' in the bottom right corner,Unknown Medium,,$99.99,https://shopgoodwill.com/item/237660820,https://shopgoodwillimages.azureedge.net/production/122/Items/07-30-2025/41ef50b4-5f31-4842-905e-b7fb3b632e47iahv_07301.jpg,"The artist 'Indur' lacks any documented market presence, auction records, or biographical information, classifying them as an unknown artist. The painting's artistic quality appears to be of average skill, with vibrant colors and a traditional still life composition. The frame's dimensions are approximately 13 inches by 16 inches, suggesting the artwork itself is smaller. The condition seems good, with no visible damage. Given the absence of market demand for this artist and the painting's decorative appeal, its value is primarily determined by its aesthetic qualities and size. Comparable works by unknown artists in similar styles and sizes typically sell in the $25 to $200 range. The current asking price of $99.99 aligns with this valuation.","The primary risk factor is the lack of authentication and provenance, which could affect the painting's value. Additionally, the market for works by unknown artists is limited, making resale challenging.","Extensive web searches yielded no information on the artist 'Indur,' indicating they are not recognized in the art market. No auction results, biographies, or gallery representations were found. Comparable still life paintings by unknown artists of similar size and medium typically sell for $25 to $200.",No recent sales data for works by 'Indur' were found. Similar still life paintings by unknown artists have sold in the $25 to $200 range.,'Indur' is an unknown artist with no documented market presence or recognition.,No authentication guides or known signatures for 'Indur' were found. The lack of provenance and authentication increases the risk of misattribution.,Similar still life paintings by unknown artists of comparable size and medium typically sell for $25 to $200.,"This item is a framed painting of a fruit still life. The artwork depicts colorful fruits arranged in a container and includes vibrant hues of yellow, green, red, and blue. The painting is signed by the artist 'Indur' in the bottom right corner. The frame is gold-colored, and the back includes a hanging wire for wall display. The dimensions of the frame are approximately 13 inches by 16 inches."
100.0,25.0,200.0,Low,Decorative Art,Robichaud Signed in Pencil Back Canal Seriolithograph in Color on Canvas,Unknown Artist,Unknown Medium,,$39.99,https://shopgoodwill.com/item/237174206,https://shopgoodwillimages.azureedge.net/production/8/Items/07-24-2025/847e9dfe-0131-40d6-ab7a-6a1917ce4e8cgicw_07241.jpg,"The artwork is a seriolithograph signed 'Robichaud,' but without a clear identification of the artist. While several artists with the surname 'Robichaud' exist, none are definitively linked to this piece. The medium, described as a seriolithograph on canvas, suggests a print rather than an original painting, which typically holds less value. The current asking price of $39.99 aligns with market expectations for unsigned or unknown artist prints. Without verifiable information about the artist or the artwork's provenance, the estimated value remains low.","- Unverified artist identity
- Print medium rather than original artwork
- Lack of provenance or authentication
- Potential for mass production","Research indicates multiple artists with the surname 'Robichaud,' including Emile Robichaud, Mark Robichaud, and Louis Robichaud. However, none are definitively linked to this artwork. Emile Robichaud's works have sold for $720 to $1,300, primarily for wooden trout creels. Mark Robichaud's works have sold for $75 to $127, mainly for fish carvings. Louis Robichaud is known for urban scenes but lacks auction records. Without clear attribution, the artwork is treated as by an unknown artist.","- Emile Robichaud: 'Fishing Creel' sold for $1,300 in 2023.
- Mark Robichaud: 'Juggling Jester' sold for $127 in 2024.
- Louis Robichaud: No recent auction records found.",The artist's market status is unknown due to the inability to definitively identify the creator of the artwork.,"Without a clear identification of the artist, authentication is challenging. The signature 'Robichaud' is shared by multiple artists, and without additional documentation or provenance, verifying the artwork's authenticity is not feasible.","Comparable works include prints by unknown artists of similar size and medium, typically valued between $25 and $200, depending on condition and decorative appeal.","Pickup Is Not Available, Please Utilize The Shipping Calculator Prior To Bidding Art Medium:  Print Visible Art Dimensions:  25x19"" Description:  Robichaud Signed in Pencil Back Canal Seriolithograph in Color on Canvas  Signature:  Robichaud  Approx. Frame Dimensions:  34.5x28"" Canvas Condition:  N/A Condition:  Items/lots undergo a brief condition inspection before being listed. Any major condition issues discovered during this inspection will be disclosed above.  Disclaimer: This is a used, donated item that has not been cleaned, serviced or tested for functionality.  Signed/autographed item authenticity is not verified. Unless otherwise stated in the listing, items do not come with official certificates and will not include documentation.  Unless otherwise stated, items have not been inventoried for completeness.  The weight of the box used for shipping is included in the overall stated weight of the item.  These items are intended for collectible use only.  Small features and fine detail may be broken and/or missing.  This item/lot is being sold as-is and may not be returned for any reason. You are bidding with this in mind."
100.0,25.0,200.0,High,Decorative art by unknown artists,Satya 2022 Signed Watercolor Painting Of Village Street,Unknown Artist,Unknown Medium,,$39.99,https://shopgoodwill.com/item/237174243,https://shopgoodwillimages.azureedge.net/production/8/Items/07-24-2025/64073f40-b85a-48f1-8617-96f30394118fgicw_07241.jpg,"The artist, 'Satya,' lacks any documented auction records, gallery representation, or museum collections, classifying them as an unknown artist. The painting is a watercolor depicting a village street, measuring approximately 11.5 x 10 inches. The current asking price is $39.99. Given the absence of market recognition and the typical valuation range for works by unknown artists, the estimated value falls between $25 and $200.","The primary risk factor is the lack of authentication and provenance, which can significantly impact the painting's value. Additionally, the market for works by unknown artists is generally limited, affecting demand and resale potential.",No information was found regarding the artist 'Satya' in recent auction records or art databases. Comparable works by unknown artists in similar mediums and sizes typically sell within the $25 to $200 range.,"Specific recent sales data for similar works by unknown artists is limited. However, decorative watercolor paintings by unrecognized artists often sell for modest amounts, generally under $200.","The artist 'Satya' has no known market presence, auction records, or gallery representation, classifying them as an unknown artist.","No authentication information is available for this painting. The signature 'Satya 2022' does not correspond to any recognized artist, and no authentication guides or references were found.","Comparable works include decorative watercolor paintings by unknown artists, which typically sell for $25 to $200, depending on factors such as size, subject matter, and condition.","Pickup Is Not Available, Please Utilize The Shipping Calculator Prior To Bidding Art Medium:  Watercolor Visible Art Dimensions:  11.5 x 10 x 0.25  Description:  Satya 2022 Signed Watercolor Painting Of Village Street Signature:  Satya 2022 Approx. Frame Dimensions:  N/A Canvas Condition:  N/A Condition:  Items/lots undergo a brief condition inspection before being listed. Any major condition issues discovered during this inspection will be disclosed above.  Disclaimer: This is a used, donated item that has not been cleaned, serviced or tested for functionality.  Signed/autographed item authenticity is not verified. Unless otherwise stated in the listing, items do not come with official certificates and will not include documentation.  Unless otherwise stated, items have not been inventoried for completeness.  The weight of the box used for shipping is included in the overall stated weight of the item.  These items are intended for collectible use only.  Small features and fine detail may be broken and/or missing.  This item/lot is being sold as-is and may not be returned for any reason. You are bidding with this in mind."
